"Time","satellite embedding","remote sensing foundation model","earth embedding","earth foundation model"
"2023-03-01",0,0,0,0
"2023-04-01",0,0,0,0
"2023-05-01",0,0,0,0
"2023-06-01",0,0,0,0
"2023-07-01",0,0,0,0
"2023-08-01",0,0,0,0
"2023-09-01",0,0,0,0
"2023-10-01",0,0,0,0
"2023-11-01",0,0,0,0
"2023-12-01",0,0,0,0
"2024-01-01",0,0,0,0
"2024-02-01",0,0,0,0
"2024-03-01",0,0,0,0
"2024-04-01",0,0,0,0
"2024-05-01",0,0,0,0
"2024-06-01",0,0,0,0
"2024-07-01",0,0,0,0
"2024-08-01",0,0,0,0
"2024-09-01",0,0,0,0
"2024-10-01",0,0,0,0
"2024-11-01",0,0,0,0
"2024-12-01",0,0,0,0
"2025-01-01",0,0,0,0
"2025-02-01",0,0,0,19
"2025-03-01",0,0,16,0
"2025-04-01",0,0,0,0
"2025-05-01",0,16,0,0
"2025-06-01",25,0,0,18
"2025-07-01",19,0,19,21
"2025-08-01",25,0,30,0
"2025-09-01",0,0,0,18
"2025-10-01",0,0,21,21
"2025-11-01",25,0,37,53
"2025-12-01",39,30,35,54
"2026-01-01",28,42,37,63
"2026-02-01",32,33,65,79
"2026-03-01",39,67,68,100
