"Time","satellite embedding","remote sensing foundation model","earth embedding","earth foundation model"
"2021-04-01",0,0,0,0
"2021-05-01",0,0,0,0
"2021-06-01",0,0,0,0
"2021-07-01",0,0,0,0
"2021-08-01",0,0,0,0
"2021-09-01",0,0,0,0
"2021-10-01",0,0,0,0
"2021-11-01",0,0,0,0
"2021-12-01",0,0,0,0
"2022-01-01",0,0,0,0
"2022-02-01",0,0,0,3
"2022-03-01",0,0,0,0
"2022-04-01",0,0,0,0
"2022-05-01",0,0,0,0
"2022-06-01",0,0,0,0
"2022-07-01",0,0,0,0
"2022-08-01",0,0,0,0
"2022-09-01",0,0,0,0
"2022-10-01",0,0,0,0
"2022-11-01",0,0,0,0
"2022-12-01",0,0,0,3
"2023-01-01",0,0,0,3
"2023-02-01",0,0,0,0
"2023-03-01",0,0,0,0
"2023-04-01",0,0,0,0
"2023-05-01",0,0,0,0
"2023-06-01",0,0,0,0
"2023-07-01",0,0,0,0
"2023-08-01",0,0,0,0
"2023-09-01",0,0,0,0
"2023-10-01",0,0,0,0
"2023-11-01",0,0,0,0
"2023-12-01",0,0,0,0
"2024-01-01",0,0,3,3
"2024-02-01",0,0,0,3
"2024-03-01",0,3,0,0
"2024-04-01",0,0,0,0
"2024-05-01",0,0,0,0
"2024-06-01",0,0,0,0
"2024-07-01",0,0,0,0
"2024-08-01",0,0,0,3
"2024-09-01",0,0,0,0
"2024-10-01",0,0,0,0
"2024-11-01",0,0,0,5
"2024-12-01",0,0,0,0
"2025-01-01",0,0,0,7
"2025-02-01",0,0,0,7
"2025-03-01",0,0,5,5
"2025-04-01",0,0,0,7
"2025-05-01",0,0,0,5
"2025-06-01",0,0,7,8
"2025-07-01",7,0,5,8
"2025-08-01",63,36,75,68
"2025-09-01",32,32,41,49
"2025-10-01",22,19,42,61
"2025-11-01",22,27,37,58
"2025-12-01",29,32,41,63
"2026-01-01",27,44,37,59
"2026-02-01",31,34,59,66
"2026-03-01",41,76,61,100
"2026-04-01",12,44,22,44
